"accession_no","sequence_name","gene","sublineage","state","analyses"
"EPI958882","muscovy_duck_Hunan_183_2014","HA","2.3.4","CN","Geo"
"EPI958914","muscovy_duck_Hunan_232_2014","HA","2.3.4","CN","Geo"
"EPI958938","muscovy_duck_Hunan_89_2014","HA","2.3.4","CN","Geo"
"EPI961183","Hubei_29578_2016","HA","2.3.4","CN","Geo"
"EPI961449","gadwall_Kurgan_2442_2016","HA","2.3.4","NA","Geo"
"EPI961478","environment_Kamchatka_18_2016","HA","2.3.4","NA","Geo"
"EPI961922","chicken_Taiwan_u7_2016","HA","2.3.4","SEA","Geo"
"EPI961933","chicken_Taiwan_x37_2016","HA","2.3.4","SEA","Geo"
"EPI967549","chicken_Chiba_1_4C_2017","HA","2.3.4","NA","Geo"
"EPI969347","turkey_Germany_BB_R377ff_2017","HA","2.3.4","E","Geo"
"EPI978863","grey_heron_Germany_TH_R1125_2017","HA","2.3.4","E","Geo"
"EPI978865","mute_swan_Germany_TH_R1126_2017","HA","2.3.4","E","Geo"
"EPI990802","greylag_goose_Germany_NI_AR703_L02138_2017","HA","2.3.4","E","Geo"
"EPI1008836","swine_Guangdong_G3_2015","HA","2.3.4","CN","Geo"
"EPI1009483","enviroment_Guangdong_F4_2016","HA","2.3.4","CN","Geo"
"EPI1019366","Bk_swan_NL_Den_Oever_16013973_002_2016","HA","2.3.4","E","Geo"
"EPI1019374","Bl_H_gull_NL_Slootdorp_16014102_002_2016","HA","2.3.4","E","Geo"
"EPI1019398","Ch_NL_Abbega_X16015736_2016","HA","2.3.4","E","Geo"
"EPI1019422","Ch_NL_Hiaure_16016112_001_005_2016","HA","2.3.4","E","Geo"
"EPI1019454","Dk_NL_Biddinghuizen_16014829_011_015_2016","HA","2.3.4","E","Geo"
"EPI1019510","Eur_Wig_NL_De_Waal_Texel_16014891_003_2016","HA","2.3.4","E","Geo"
"EPI1019534","Eur_Wig_NL_Enumatil_Groningen_16015704_001_2016","HA","2.3.4","E","Geo"
"EPI1019566","Eur_Wig_NL_Groningen_16015376_003_2016","HA","2.3.4","E","Geo"
"EPI1019590","Eur_Wig_NL_Reeuwijk_16015903_003_2016","HA","2.3.4","E","Geo"
"EPI1019606","Eur_Wig_NL_Vianen_16015917_006_2016","HA","2.3.4","E","Geo"
"EPI1019614","Eur_Wig_NL_Walterswald_16015923_003_2016","HA","2.3.4","E","Geo"
"EPI1019774","T_Dk_NL_Monnickendam_16013865_006_008_2016","HA","2.3.4","E","Geo"
"EPI1040223","chicken_Italy_17VIR3078_2017","HA","2.3.4","E","Geo"
"EPI1044550","mute_swan_Kaliningrad_132_2017","HA","2.3.4","NA","Geo"
"EPI1045611","chicken_Rostov_44_2017","HA","2.3.4","NA","Geo"
"EPI1055332","chicken_Wuxi_6074_2015","HA","2.3.4","CN","Geo"
"EPI1055352","chicken_Wuxi_7157_2015","HA","2.3.4","CN","Geo"
"EPI1055368","chicken_Wuxi_7765_2016","HA","2.3.4","CN","Geo"
"EPI1060731","Chicken_Huizhou_16274_2016_H5N6","HA","2.3.4","CN","Geo"
"EPI1060739","Goose_Qingyuan_16875_2016","HA","2.3.4","CN","Geo"
"EPI279949","Zhejiang_1_2006","HA","2.3.4","CN","Geo"
"EPI280096","Hunan_1_2006","HA","2.3.4","CN","Geo"
"EPI280136","Fujian_1_2007","HA","2.3.4","CN","Geo"
"EPI280144","Jiangsu_1_2007","HA","2.3.4","CN","Geo"
"EPI284436","chicken_Vietnam_NCVD_381_2009","HA","2.3.4","SEA","Geo"
"EPI284437","chicken_Vietnam_NCVD_383_2009","HA","2.3.4","SEA","Geo"
"EPI284442","chicken_Vietnam_NCVD_404_2010","HA","2.3.4","SEA","Geo"
"EPI284450","chicken_Vietnam_NCVD_138_2008","HA","2.3.4","SEA","Geo"
"EPI284454","chicken_Vietnam_NCVD_281_2009","HA","2.3.4","SEA","Geo"
"EPI284456","chicken_Vietnam_NCVD_283_2009","HA","2.3.4","SEA","Geo"
"EPI284457","chicken_Vietnam_NCVD_288_2009","HA","2.3.4","SEA","Geo"
"EPI284461","chicken_Vietnam_NCVD_292_2009","HA","2.3.4","SEA","Geo"
"EPI284462","chicken_Vietnam_NCVD_394_2010","HA","2.3.4","SEA","Geo"
"EPI284466","chicken_Vietnam_NCVD_279_2009","HA","2.3.4","SEA","Geo"
"EPI284467","chicken_Vietnam_NCVD_400_2010","HA","2.3.4","SEA","Geo"
"EPI284484","chicken_Vietnam_NCVD_027_2008","HA","2.3.4","SEA","Geo"
"EPI284485","chicken_Vietnam_NCVD_109_2007","HA","2.3.4","SEA","Geo"
"EPI284486","chicken_Vietnam_NCVD_005_2008","HA","2.3.4","SEA","Geo"
"EPI284487","chicken_Vietnam_NCVD_006_2008","HA","2.3.4","SEA","Geo"
"EPI284488","chicken_Vietnam_NCVD_025_2008","HA","2.3.4","SEA","Geo"
"EPI284490","chicken_Vietnam_NCVD_002_2008","HA","2.3.4","SEA","Geo"
"EPI284492","chicken_Vietnam_NCVD_033_2008","HA","2.3.4","SEA","Geo"
"EPI284494","chicken_Vietnam_NCVD_108_2007","HA","2.3.4","SEA","Geo"
"EPI284495","chicken_Vietnam_NCVD_029_2008","HA","2.3.4","SEA","Geo"
"EPI284496","chicken_Vietnam_NCVD_008_2008","HA","2.3.4","SEA","Geo"
"EPI284499","chicken_Vietnam_NCVD_026_2008","HA","2.3.4","SEA","Geo"
"EPI284500","muscovy_duck_Vietnam_NCVD_402_2010","HA","2.3.4","SEA","Geo"
"EPI284502","muscovy_duck_Vietnam_NCVD_154_2008","HA","2.3.4","SEA","Geo"
"EPI284504","muscovy_duck_Vietnam_NCVD_393_2009","HA","2.3.4","SEA","Geo"
"EPI284505","muscovy_duck_Vietnam_NCVD_384_2009","HA","2.3.4","SEA","Geo"
"EPI284506","muscovy_duck_Vietnam_NCVD_388_2009","HA","2.3.4","SEA","Geo"
"EPI284507","muscovy_duck_Vietnam_NCVD_079_2008","HA","2.3.4","SEA","Geo"
"EPI284510","muscovy_duck_Vietnam_NCVD_038_2008","HA","2.3.4","SEA","Geo"
"EPI284511","muscovy_duck_Vietnam_NCVD_101_2007","HA","2.3.4","SEA","Geo"
"EPI284514","muscovy_duck_Vietnam_NCVD_119_2007","HA","2.3.4","SEA","Geo"
"EPI284515","muscovy_duck_Vietnam_NCVD_120_2007","HA","2.3.4","SEA","Geo"
"EPI284516","muscovy_duck_Vietnam_NCVD_041_2008","HA","2.3.4","SEA","Geo"
"EPI284524","duck_Vietnam_NCVD_375_2009","HA","2.3.4","SEA","Geo"
"EPI284531","duck_Vietnam_NCVD_391_2009","HA","2.3.4","SEA","Geo"
"EPI284533","duck_Vietnam_NCVD_378_2009","HA","2.3.4","SEA","Geo"
"EPI284534","duck_Vietnam_NCVD_379_2009","HA","2.3.4","SEA","Geo"
"EPI284541","duck_Vietnam_NCVD_146_2008","HA","2.3.4","SEA","Geo"
"EPI284544","duck_Vietnam_NCVD_186_2008","HA","2.3.4","SEA","Geo"
"EPI284545","ngan_Vietnam_NCVD_420_2010","HA","2.3.4","SEA","Geo"
"EPI284546","duck_Vietnam_NCVD_343_2009","HA","2.3.4","SEA","Geo"
"EPI284547","duck_Vietnam_NCVD_287_2009","HA","2.3.4","SEA","Geo"
"EPI284550","duck_Vietnam_NCVD_293_2009","HA","2.3.4","SEA","Geo"
"EPI284555","duck_Vietnam_NCVD_028_2008","HA","2.3.4","SEA","Geo"
"EPI284556","duck_Vietnam_NCVD_118_2007","HA","2.3.4","SEA","Geo"
"EPI284557","duck_Vietnam_NCVD_013_2008","HA","2.3.4","SEA","Geo"
"EPI284558","duck_Vietnam_NCVD_014_2008","HA","2.3.4","SEA","Geo"
"EPI284559","duck_Vietnam_NCVD_98_2007","HA","2.3.4","SEA","Geo"
"EPI284561","duck_Vietnam_NCVD_030_2008","HA","2.3.4","SEA","Geo"
"EPI284564","duck_Vietnam_NCVD_003_2008","HA","2.3.4","SEA","Geo"
"EPI284565","duck_Vietnam_NCVD_019_2008","HA","2.3.4","SEA","Geo"
"EPI284566","duck_Vietnam_NCVD_020_2008","HA","2.3.4","SEA","Geo"
"EPI284567","duck_Vietnam_NCVD_021_2008","HA","2.3.4","SEA","Geo"
"EPI284568","duck_Vietnam_NCVD_022_2008","HA","2.3.4","SEA","Geo"
"EPI284570","duck_Vietnam_NCVD_113_2007","HA","2.3.4","SEA","Geo"
"EPI284571","duck_Vietnam_NCVD_116_2007","HA","2.3.4","SEA","Geo"
"EPI284572","duck_Vietnam_NCVD_94_2007","HA","2.3.4","SEA","Geo"
"EPI284573","duck_Vietnam_NCVD_100_2007","HA","2.3.4","SEA","Geo"
"EPI284575","duck_Vietnam_NCVD_105_2007","HA","2.3.4","SEA","Geo"
"EPI284587","avian_Vietnam_NCVD_132_2008","HA","2.3.4","SEA","Geo"
"EPI284589","poultry_Vietnam_NCVD_416_2010","HA","2.3.4","SEA","Geo"
"EPI284591","civet_Vietnam_NCVD_004_2008","HA","2.3.4","SEA","Geo"
"EU195400","mallard_Huadong_lk_2005","HA","2.3.4","CN","Geo"
"EU221249","duck_Nong_Khai_Thailand_KU_56_2007","HA","2.3.4","SEA","Geo"
"EU329186","wild_duck_Hunan_211_2005","HA","2.3.4","CN","Geo"
"EU594349","duck_Hubei_Hangmei01_2006","HA","2.3.4","CN","Geo"
"EU930892","chicken_Vietnam_202_2005","HA","2.3.4","SEA","Geo"
"EU930940","duck_Vietnam_208_2005","HA","2.3.4","SEA","Geo"
"EU930948","chicken_Vietnam_209_2005","HA","2.3.4","SEA","Geo"
"EU930996","chicken_Vietnam_216_2005","HA","2.3.4","SEA","Geo"
"FJ492881","Sichuan_1_2006","HA","2.3.4","CN","Geo"
"FJ492882","Fujian_1_2005","HA","2.3.4","CN","Geo"
"FJ492885","Jiangxi_1_2005","HA","2.3.4","CN","Geo"
"FJ784841","duck_Hunan_689_2006","HA","2.3.4","CN","Geo"
"FJ784842","chicken_Anhui_1089_2007","HA","2.3.4","CN","Geo"
"FJ784844","duck_Henan_1647_2006","HA","2.3.4","CN","Geo"
"FJ784846","duck_Henan_1652_2006","HA","2.3.4","CN","Geo"
"FJ784848","duck_Hunan_1930_2007","HA","2.3.4","CN","Geo"
"FJ784849","duck_Hunan_1964_2007","HA","2.3.4","CN","Geo"
"FJ784851","chicken_Hubei_2856_2007","HA","2.3.4","CN","Geo"
"FJ784853","chicken_Hubei_3002_2007","HA","2.3.4","CN","Geo"
"FJ784855","duck_Hunan_3315_2006","HA","2.3.4","CN","Geo"
"FJ784856","duck_Hunan_3340_2006","HA","2.3.4","CN","Geo"
"GQ202211","tree_sparrow_Jiangsu_1_2008","HA","2.3.4","CN","Geo"
"GU050317","avian_Hong_Kong_0719_2007","HA","2.3.4","CN","Geo"
"GU050381","chicken_Nam_Dinh_07_32_2007","HA","2.3.4","SEA","Geo"
"GU050491","muscovy_duck_Son_La_07_85_2007","HA","2.3.4","SEA","Geo"
"GU050499","duck_Thai_Ninh_07_86_2007","HA","2.3.4","SEA","Geo"
"GU050523","chicken_Thai_Binh_07_89_2007","HA","2.3.4","SEA","Geo"
"GU050539","duck_Nam_Dinh_07_91_2007","HA","2.3.4","SEA","Geo"
"GU052486","chicken_Hong_Kong_D_06_0947_2006","HA","2.3.4","CN","Geo"
"GU052502","duck_Hai_Phong_208_2006","HA","2.3.4","SEA","Geo"
"GU182182","environment_Hunan_6_69_2008","HA","2.3.4","CN","Geo"
"GU182214","environment_Hunan_1_8_2007","HA","2.3.4","CN","Geo"
"GU220793","lesser_kestrel_Heilongjiang_194_2007","HA","2.3.4","CN","Geo"
"GU727653","duck_Eastern_China_008_2008","HA","2.3.4","CN","Geo"
"GU727661","duck_Eastern_China_031_2009","HA","2.3.4","CN","Geo"
"HM006751","Chicken_Laos_Xaythiani_26_2006","HA","2.3.4","SEA","Geo"
"HM114537","Vietnam_UT30850_2005","HA","2.3.4","SEA","Geo"
"HM114545","Vietnam_UT312032007","HA","2.3.4","SEA","Geo"
"HM114553","Vietnam_UT31239_2007","HA","2.3.4","SEA","Geo"
"HM114569","Vietnam_UT31244III_2007","HA","2.3.4","SEA","Geo"
"HM114577","Vietnam_UT31312II_2007","HA","2.3.4","SEA","Geo"
"HM114585","Vietnam_HN31388M1_2007","HA","2.3.4","SEA","Geo"
"HM114601","Vietnam_UT31412II_2008","HA","2.3.4","SEA","Geo"
"HM114609","Vietnam_UT31413II_2008","HA","2.3.4","SEA","Geo"
"HM114617","Vietnam_HN31432M_2008","HA","2.3.4","SEA","Geo"
"HM172069","chicken_Sichuan_81_2005","HA","2.3.4","CN","Geo"
"HM172070","goose_Hubei_65_2005","HA","2.3.4","CN","Geo"
"HM172071","duck_Hubei_49_2005","HA","2.3.4","CN","Geo"
"HM172072","Anhui_2_2005","HA","2.3.4","CN","Geo"
"HM172079","chicken_Guizhou_7_2008","HA","2.3.4","CN","Geo"
"HM172086","chicken_Tibet_6_2008","HA","2.3.4","CN","Geo"
"HM172097","duck_Hunan_29_2006","HA","2.3.4","CN","Geo"
"HM172100","duck_Jiangxi_80_2005","HA","2.3.4","CN","Geo"
"HM172101","shrike_Tibet_13_2006","HA","2.3.4","CN","Geo"
"HM172107","duck_Anhui_56_2005","HA","2.3.4","CN","Geo"
"HM172109","duck_Yunnan_47_2006","HA","2.3.4","CN","Geo"
"HM172112","chicken_Hunan_21_2005","HA","2.3.4","CN","Geo"
"JN055378","chicken_Vietnam_27262_2009","HA","2.3.4","SEA","Geo"
"JQ041401","duck_Eastern_China_1111_2011","HA","2.3.4","CN","Geo"
"JQ041402","goose_Eastern_China_1112_2011","HA","2.3.4","CN","Geo"
"JQ936687","chicken_Yangon_254_2010","HA","2.3.4","SEA","Geo"
"JQ936703","chicken_Yangon_182_2010","HA","2.3.4","SEA","Geo"
"JQ973670","goose_Shandong_k1204_2009","HA","2.3.4","CN","Geo"
"JQ973678","quail_Jiangsu_k0104_2010","HA","2.3.4","CN","Geo"
"JQ973694","duck_Jiangsu_k1203_2010","HA","2.3.4","CN","Geo"
"JX094831","turtle_dove_Guangdong_300_2005","HA","2.3.4","CN","Geo"
"JX507355","duck_Jiangsu_m234_2012","HA","2.3.4","CN","Geo"
"JX534565","wild_duck_Shandong_628_2011","HA","2.3.4","CN","Geo"
"JX565019","chicken_Tibet_LZ01_2010","HA","2.3.4","CN","Geo"
"JX878683","duck_HuBei_03_2010","HA","2.3.4","CN","Geo"
"KC261463","duck_Eastern_China_057_2007","HA","2.3.4","CN","Geo"
"KC261465","chicken_Eastern_China_ZG56_2011","HA","2.3.4","CN","Geo"
"KC261466","chicken_North_China_k0604_2010","HA","2.3.4","CN","Geo"
"KC261467","chicken_Eastern_China_ZG16_2010","HA","2.3.4","CN","Geo"
"KC683523","swine_Jiangsu_2_2009","HA","2.3.4","CN","Geo"
"KC690156","domestic_green_winged_teal_Hunan_3450_2006","HA","2.3.4","CN","Geo"
"KJ413834","breeder_duck_Korea_Gochang1_2014","HA","2.3.4","NA","Geo"
"KJ413842","broiler_duck_Korea_Buan2_2014","HA","2.3.4","NA","Geo"
"KJ476669","duck_Zhejiang_W24_2013","HA","2.3.4","CN","Geo"
"KJ508900","broiler_duck_Korea_H29_2014","HA","2.3.4","NA","Geo"
"KJ508924","bean_goose_Korea_H40_2014","HA","2.3.4","NA","Geo"
"KJ508932","Baikal_teal_Korea_H41_2014","HA","2.3.4","NA","Geo"
"KJ508948","broiler_duck_Korea_H48_2014","HA","2.3.4","NA","Geo"
"KJ508956","broiler_duck_Korea_H49_2014","HA","2.3.4","NA","Geo"
"KJ508988","broiler_duck_Korea_H65_2014","HA","2.3.4","NA","Geo"
"KJ509004","Baikal_teal_Korea_H68_2014","HA","2.3.4","NA","Geo"
"KJ509028","Baikal_teal_Korea_H84_2014","HA","2.3.4","NA","Geo"
"KJ509036","Baikal_teal_Korea_H96_2014","HA","2.3.4","NA","Geo"
"KJ509044","breeder_chicken_Korea_H122_2014","HA","2.3.4","NA","Geo"
"KJ509076","breeder_duck_Korea_H158_2014","HA","2.3.4","NA","Geo"
"KJ509116","breeder_chicken_Korea_H250_2014","HA","2.3.4","NA","Geo"
"KJ509132","mallard_Korea_H297_2014","HA","2.3.4","NA","Geo"
"KJ509140","bean_goose_Korea_H328_2014","HA","2.3.4","NA","Geo"
"KJ509156","common_teal_Korea_H455_30_2014","HA","2.3.4","NA","Geo"
"KJ509164","spot_billed_duck_Korea_H455_42_2014","HA","2.3.4","NA","Geo"
"KJ511812","waterfowl_Korea_S005_2014","HA","2.3.4","NA","Geo"
"KJ683888","chicken_Yunnan_1_2014","HA","2.3.4","CN","Geo"
"KJ754145","duck_Guangdong_GD01_2014","HA","2.3.4","CN","Geo"
"KJ756621","baikal_teal_Korea_1445_2014","HA","2.3.4","NA","Geo"
"KJ756623","baikal_teal_Korea_1447_2014","HA","2.3.4","NA","Geo"
"KJ756624","baikal_teal_Korea_1448_2014","HA","2.3.4","NA","Geo"
"KJ756629","baikal_teal_Korea_1457_2014","HA","2.3.4","NA","Geo"
"KJ756632","baikal_teal_Korea_2402_2014","HA","2.3.4","NA","Geo"
"KJ756636","baikal_teal_Korea_2416_2014","HA","2.3.4","NA","Geo"
"KJ807779","chicken_Zhejiang_6C2_2013","HA","2.3.4","CN","Geo"
"KJ938658","environment_Zhenjiang_C13_2013","HA","2.3.4","CN","Geo"
"KM251463","chicken_Sichuan_NCJPL1_2014","HA","2.3.4","CN","Geo"
"KM251466","duck_Sichuan_NCXJ16_2014","HA","2.3.4","CN","Geo"
"KM496970","duck_Laos_LPQ002_2014","HA","2.3.4","SEA","Geo"
"KM504101","duck_Shandong_Q1_2013","HA","2.3.4","CN","Geo"
"KM873646","swan_goose_Jilin_JL01_2014","HA","2.3.4","CN","Geo"
"KP090439","chicken_Jiangxi_NCDZT1123_2014","HA","2.3.4","CN","Geo"
"KP233704","duck_Hunan_316_2005","HA","2.3.4","CN","Geo"
"KP284965","chicken_Shenzhen_552_2013","HA","2.3.4","CN","Geo"
"KP284973","chicken_Shenzhen_1395_2013","HA","2.3.4","CN","Geo"
"KP284981","chicken_Shenzhen_1845_2013","HA","2.3.4","CN","Geo"
"KP285021","duck_Dongguan_3069_2013","HA","2.3.4","CN","Geo"
"KP285029","chicken_Dongguan_4259_2013","HA","2.3.4","CN","Geo"
"KP285317","goose_Shantou_1763_2014","HA","2.3.4","CN","Geo"
"KP286085","chicken_Shenzhen_1061_2013","HA","2.3.4","CN","Geo"
"KP286093","chicken_Shenzhen_2269_2013","HA","2.3.4","CN","Geo"
"KP286109","chicken_Dongguan_3363_2013","HA","2.3.4","CN","Geo"
"KP307957","turkey_BC_FAV10_2014","HA","2.3.4","Am","Geo"
"KP307976","Northern_pintail_Washington_40964_2014","HA","2.3.4","Am","Geo"
"KP307984","gyrfalcon_Washington_41088_6_2014","HA","2.3.4","Am","Geo"
"KP638510","Vietnam_UT36250_1_2010","HA","2.3.4","SEA","Geo"
"KP638511","Vietnam_UT31604_1_2009","HA","2.3.4","SEA","Geo"
"KP638513","Vietnam_HN31676DH_2009","HA","2.3.4","SEA","Geo"
"KP732547","chicken_TongHai_302_2014","HA","2.3.4","CN","Geo"
"KP732628","duck_Eastern_China_L0230_2010","HA","2.3.4","CN","Geo"
"KP732629","duck_Eastern_China_L0405_2010","HA","2.3.4","CN","Geo"
"KP732630","duck_Eastern_China_L0423_2011","HA","2.3.4","CN","Geo"
"KP732631","duck_Eastern_China_L0611_2011","HA","2.3.4","CN","Geo"
"KP732632","duck_Eastern_China_L0722_2012","HA","2.3.4","CN","Geo"
"KP732633","duck_Eastern_China_L1021_2012","HA","2.3.4","CN","Geo"
"KP732634","duck_Eastern_China_L1120_2012","HA","2.3.4","CN","Geo"
"KP732635","goose_Eastern_China_L1214_2012","HA","2.3.4","CN","Geo"
"KP732636","goose_Eastern_China_L1204_2012","HA","2.3.4","CN","Geo"
"KP732637","duck_Eastern_China_S1210_2013","HA","2.3.4","CN","Geo"
"KP732638","goose_Eastern_China_S0513_2013","HA","2.3.4","CN","Geo"
"KP732639","duck_Eastern_China_S0131_2014","HA","2.3.4","CN","Geo"
"KP732640","duck_Eastern_China_S0215_2014","HA","2.3.4","CN","Geo"
"KP732641","duck_Eastern_China_S0711_2014","HA","2.3.4","CN","Geo"
"KP732642","duck_Eastern_China_S0808_2014","HA","2.3.4","CN","Geo"
"KP732644","duck_Eastern_China_S0322_2014","HA","2.3.4","CN","Geo"
"KP732645","goose_Eastern_China_S0408_2014","HA","2.3.4","CN","Geo"
"KP732646","duck_Eastern_China_S1109_2014","HA","2.3.4","CN","Geo"
"KP765796","duck_Guangzhou_41227_2014","HA","2.3.4","CN","Geo"
"KR233674","eurasian_wigeon_Netherlands_1_2014","HA","2.3.4","E","Geo"
"KR233998","chicken_Oregon_A01819044_2015","HA","2.3.4","Am","Geo"
"KR234014","turkey_Missouri_7458_1_2015","HA","2.3.4","Am","Geo"
"KT221066","goose_Jiangsu_QD5_2014","HA","2.3.4","CN","Geo"
"KT221074","goose_Shandong_WFSG1_2014","HA","2.3.4","CN","Geo"
"KT313418","swine_Guangdong_1_2014","HA","2.3.4","CN","Geo"
"KT327395","night_heron_Taiwan_A289_2015","HA","2.3.4","SEA","Geo"
"KT370058","environment_Guangdong_QY208_2014","HA","2.3.4","CN","Geo"
"KT370059","environment_Guangdong_QY025_2013","HA","2.3.4","CN","Geo"
"KT370060","environment_Guangdong_QY197_2014","HA","2.3.4","CN","Geo"
"KT370061","environment_Guangdong_ZS356_2014","HA","2.3.4","CN","Geo"
"KT370063","environment_Guangdong_HY243_2015","HA","2.3.4","CN","Geo"
"KT383478","goose_Guangdong_s13124_2013","HA","2.3.4","CN","Geo"
"KT388468","goose_Taiwan_TNC4_2015","HA","2.3.4","SEA","Geo"
"KT388572","goose_Taiwan_TNO3_2015","HA","2.3.4","SEA","Geo"
"KT454947","Gallinula_chloropus_Guangdong_GZ174_2014","HA","2.3.4","CN","Geo"
"KT587286","pigeon_Hubei_RP25_2012","HA","2.3.4","CN","Geo"
"KT936694","Eurasian_curlew_Shanghai_DT1231_5_2014","HA","2.3.4","CN","Geo"
"KT952272","wild_pigeon_Jilin_CC01_2014","HA","2.3.4","CN","Geo"
"KT952280","environment_Jilin_CC02_2014","HA","2.3.4","CN","Geo"
"KU042751","goose_Zhejiang_77167_2014","HA","2.3.4","CN","Geo"
"KU042758","goose_Zhejiang_925036_2014","HA","2.3.4","CN","Geo"
"KU042759","goose_Zhejiang_925105_2014","HA","2.3.4","CN","Geo"
"KU042760","goose_Zhejiang_925106_2014","HA","2.3.4","CN","Geo"
"KU042763","goose_Zhejiang_1120132_2014","HA","2.3.4","CN","Geo"
"KU042766","chicken_Zhejiang_727155_2014","HA","2.3.4","CN","Geo"
"KU042768","duck_Zhejiang_925169_2014","HA","2.3.4","CN","Geo"
"KU042769","goose_Zhejiang_925037_2014","HA","2.3.4","CN","Geo"
"KU057272","tiger_Yunnan_tig1404_2014","HA","2.3.4","CN","Geo"
"KU143269","duck_Wenzhou_YHQL22_2014","HA","2.3.4","CN","Geo"
"KU143270","duck_Wuhan_JXYFB22_2015","HA","2.3.4","CN","Geo"
"KU143271","duck_Taizhou_TZYG12_2015","HA","2.3.4","CN","Geo"
"KU201696","mallard_Oregon_AH0008887_2015","HA","2.3.4","Am","Geo"
"KU201704","Northern_pintail_Oregon_AH0003871_2015","HA","2.3.4","Am","Geo"
"KU201808","Northern_pintail_Washington_195365_2014","HA","2.3.4","Am","Geo"
"KU646869","goose_Taiwan_01022_2015","HA","2.3.4","SEA","Geo"
"KU646877","goose_Taiwan_01023_2015","HA","2.3.4","SEA","Geo"
"KU646885","goose_Taiwan_01031_2015","HA","2.3.4","SEA","Geo"
"KU646893","goose_Taiwan_01040_2015","HA","2.3.4","SEA","Geo"
"KU646941","goose_Taiwan_01039_2015","HA","2.3.4","SEA","Geo"
"KU852944","environment_Guangdong_GZ693_2015","HA","2.3.4","CN","Geo"
"KU852945","environment_Guangdong_ZS558_2015","HA","2.3.4","CN","Geo"
"KX013021","duck_Eastern_China_JY_2014","HA","2.3.4","CN","Geo"
"KX013029","goose_Eastern_China_CZ_2013","HA","2.3.4","CN","Geo"
"KX121198","goose_Hunan_118_2014","HA","2.3.4","CN","Geo"
"KX121206","duck_Hunan_144_2014","HA","2.3.4","CN","Geo"
"KX151176","Pavo_cristatus_Jiangxi_JA1_2016","HA","2.3.4","CN","Geo"
"KX223685","environment_Zhongshan_ZS01_2016","HA","2.3.4","CN","Geo"
"KX247930","environment_Changsha_156_2014","HA","2.3.4","CN","Geo"
"KX297864","mallard_duck_Korea_W457_2014","HA","2.3.4","NA","Geo"
"KX523694","duck_Hubei_SZY250_2016","HA","2.3.4","CN","Geo"
"KX638416","oriental_magpie_robin_HK_6154_2015","HA","2.3.4","CN","Geo"
"KX652133","chicken_Hubei_XG18_2015","HA","2.3.4","CN","Geo"
"KX838899","mallard_Alaska_AH0088535_2016","HA","2.3.4","Am","Geo"
"KX960166","wild_bird_Jiangxi_P410_2015","HA","2.3.4","CN","Geo"
"KX960176","wild_bird_Jiangxi_P5_2015","HA","2.3.4","CN","Geo"
"KY056285","chicken_Zhejiang_194_2016","HA","2.3.4","CN","Geo"
"KY056286","chicken_Zhejiang_209_2016","HA","2.3.4","CN","Geo"
"KY056288","chicken_Zhejiang_232_2016","HA","2.3.4","CN","Geo"
"KY171247","chicken_Vietnam_NCVD14_A324_2014","HA","2.3.4","SEA","Geo"
"KY171254","chicken_Vietnam_NCVD_15A22_2015","HA","2.3.4","SEA","Geo"
"KY171645","Pheasant_Vietnam_NCVD14_A367_2014","HA","2.3.4","SEA","Geo"
"KY171650","duck_Vietnam_NCVD14_A392_2014","HA","2.3.4","SEA","Geo"
"KY171686","chicken_Vietnam_NCVD_15A17_2015","HA","2.3.4","SEA","Geo"
"KY171693","goose_Vietnam_NCVD_15A27_2015","HA","2.3.4","SEA","Geo"
"KY171700","chicken_Vietnam_NCVD_15A51_2015","HA","2.3.4","SEA","Geo"
"KY171708","chicken_Vietnam_NCVD_15A55_2015","HA","2.3.4","SEA","Geo"
"KY171716","duck_Vietnam_NCVD_15A57_2015","HA","2.3.4","SEA","Geo"
"KY171725","chicken_Vietnam_NCVD_15A59_2015","HA","2.3.4","SEA","Geo"
"KY402073","whooper_swan_Korea_Gangjin_49_1_2016","HA","2.3.4","NA","Geo"
"KY415620","duck_Hubei_ZYSYF24_2015","HA","2.3.4","CN","Geo"
"KY415622","duck_Hubei_ZYSYG5_2015","HA","2.3.4","CN","Geo"
"KY415623","chicken_Hubei_ZYSJF11_2016","HA","2.3.4","CN","Geo"
"KY415631","chicken_Taishun_TS12_2016","HA","2.3.4","CN","Geo"
"KY415632","chicken_Taishun_TS90_2016","HA","2.3.4","CN","Geo"
"KY415644","chicken_Ganzhou_GZ27_2015","HA","2.3.4","CN","Geo"
"KY415646","chicken_Ganzhou_GZ50_2015","HA","2.3.4","CN","Geo"
"KY828643","American_wigeon_California_UCD58P_2015","HA","2.3.4","Am","Geo"
"LC026477","tundra_swan_Tottori_C6nk_2014","HA","2.3.4","NA","Geo"
"LC028192","duck_Vietnam_LBM751_2014","HA","2.3.4","SEA","Geo"
"LC041308","duck_Vietnam_HU1_1152_2014","HA","2.3.4","SEA","Geo"
"LC050591","muscovy_duck_Quang_Ninh_4c111_2013","HA","2.3.4","SEA","Geo"
"LC164822","muscovy_duck_LBM803_2015","HA","2.3.4","SEA","Geo"
"LC174961","duck_Vietnam_LBM824_2015","HA","2.3.4","SEA","Geo"
"LC208492","chicken_Japan_AQ_HE144_2015","HA","2.3.4","NA","Geo"
"LC208516","duck_Japan_AQ_HE72_2015","HA","2.3.4","NA","Geo"
